a,d,fl,fw,gh,inl,inw,k,mt,pl,pw,sh,sl,sw,uf,freq,s11,gain,bandwidth
50.0,2000.0,110.0,58.0,15.0,20.0,3.625,1.0,15.0,180.0,280.0,90.0,400.0,460.0,0.8,0.93466,-18.363638221531,9.335213433117632,0.23499983816703152
40.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.37531,-33.829533428474,9.541450756594992,0.03002329757723543
40.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,0.38125,-23.735770455862,9.63365889441016,0.02942384092146716
40.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,0.3862,-21.597997133053,9.679554296044719,0.030543590476624083
40.0,2000.0,75.0,58.0,15.0,80.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,0.39313,-19.164122218884,9.695595878118393,0.030625662781184615
40.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.3763,-21.355021627924,9.62230836939298,0.030389701253683232
40.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,0.94753,-20.509879676551,10.764405323908498
40.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,0.94852,-19.634961084586,10.633232257341495
40.0,2000.0,75.0,58.0,15.0,58.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,0.94951,-18.377620297863,10.418942900526925
40.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.9901,-18.599382479653,11.006226667108264
40.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,0.99109,-18.654826432287,11.003407414084
40.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,0.99406,-18.242781766507,10.902151366848
40.0,2000.0,75.0,58.0,15.0,39.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,0.99505,-17.354018700201,10.72389338873
40.0,2000.0,75.0,58.0,15.0,20.0,3.625,1.0,15.0,250.0,350.0,90.0,400.0,460.0,0.8,0.37828,-16.689980248268,9.701596375326003,0.029992476998924655
40.0,2000.0,75.0,58.0,15.0,20.0,3.625,1.0,15.0,250.0,326.0,90.0,400.0,460.0,0.8,0.38422,-14.854764257587,9.7548281229127,0.02844477551337332
40.0,2000.0,75.0,58.0,15.0,20.0,3.625,1.0,15.0,250.0,303.0,90.0,400.0,460.0,0.8,0.39016,-13.697399478452,9.766119238206102,0.027097619463002043
40.0,2000.0,75.0,58.0,15.0,20.0,3.625,1.0,15.0,250.0,280.0,90.0,400.0,460.0,0.8,0.3961,-12.740461869189,9.771470459084638,0.024952724497192547
40.0,2000.0,86.0,58.0,15.0,80.0,3.625,1.0,15.0,228.0,350.0,90.0,400.0,460.0,0.8,0.72775,-16.850625128183,9.326291320176402,0.060517087575491124
40.0,2000.0,86.0,58.0,15.0,80.0,3.625,1.0,15.0,228.0,326.0,90.0,400.0,460.0,0.8,0.39808,-18.419711952832,9.753636048142333,0.031064399291735878
40.0,2000.0,86.0,58.0,15.0,80.0,3.625,1.0,15.0,228.0,303.0,90.0,400.0,460.0,0.8,0.40402,-21.758772555827,9.696877974710551,0.03297966530810981
40.0,2000.0,86.0,58.0,15.0,80.0,3.625,1.0,15.0,228.0,280.0,90.0,400.0,460.0,0.8,0.41095,-26.81536109477,9.769132277105491,0.034324886926962006
40.0,2000.0,86.0,58.0,15.0,58.0,3.625,1.0,15.0,228.0,350.0,90.0,400.0,460.0,0.8,0.78715,-23.213178842593,9.848931573969924,0.08583554378023728
40.0,2000.0,86.0,58.0,15.0,58.0,3.625,1.0,15.0,228.0,326.0,90.0,400.0,460.0,0.8,0.78715,-26.01077213485,9.521838124918554,0.08329162061311368
